2026/04/22 11:44:35 Warm-up period: 1/20 price points collected
2026/04/22 11:44:35 Warm-up period: 2/20 price points collected
2026/04/22 11:44:35 Warm-up period: 3/20 price points collected
2026/04/22 11:44:35 Warm-up period: 4/20 price points collected
2026/04/22 11:44:35 Warm-up period: 5/20 price points collected
2026/04/22 11:44:35 Warm-up period: 6/20 price points collected
2026/04/22 11:44:35 Warm-up period: 7/20 price points collected
2026/04/22 11:44:35 Warm-up period: 8/20 price points collected
2026/04/22 11:44:35 Warm-up period: 9/20 price points collected
2026/04/22 11:44:35 Warm-up period: 10/20 price points collected
2026/04/22 11:44:35 Warm-up period: 11/20 price points collected
2026/04/22 11:44:35 Warm-up period: 12/20 price points collected
2026/04/22 11:44:35 Warm-up period: 13/20 price points collected
2026/04/22 11:44:35 Warm-up period: 14/20 price points collected
2026/04/22 11:44:35 Warm-up period: 15/20 price points collected
2026/04/22 11:44:35 Warm-up period: 16/20 price points collected
2026/04/22 11:44:35 Warm-up period: 17/20 price points collected
2026/04/22 11:44:35 Warm-up period: 18/20 price points collected
2026/04/22 11:44:35 Warm-up period: 19/20 price points collected
2026/04/22 11:44:35 Available balance: 1000. Ignoring for budget calculation.
2026/04/22 11:44:35 Opened SELL position at 87.99
2026/04/22 11:44:45 Tick 52000: Price 88.26 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:45 Tick 53000: Price 88.28 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:45 Tick 54000: Price 88.25 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:45 Tick 55000: Price 88.24 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:45 Tick 56000: Price 88.19 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:45 Tick 57000: Price 88.17 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:46 Tick 58000: Price 88.21 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:46 Tick 59000: Price 88.26 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:46 Tick 60000: Price 88.32 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:46 Tick 61000: Price 88.32 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:46 Tick 62000: Price 88.4 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:47 Tick 63000: Price 88.37 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:47 Tick 64000: Price 88.39 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:47 Tick 65000: Price 88.26 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:47 Tick 66000: Price 88.36 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:47 Tick 67000: Price 88.41 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:48 Tick 68000: Price 88.51 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:48 Tick 69000: Price 88.51 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:48 Tick 70000: Price 88.58 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:48 Tick 71000: Price 88.59 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:48 Tick 72000: Price 88.44 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:48 Tick 73000: Price 88.64 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:49 Tick 74000: Price 88.82 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:49 Tick 75000: Price 88.71 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:49 Tick 76000: Price 88.76 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:49 Tick 77000: Price 88.74 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:49 Tick 78000: Price 88.71 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:49 --- Backtest Results ---
2026/04/22 11:44:49 Total Ticks Processed: 78383
2026/04/22 11:44:49 Final Balance: 1000
2026/04/22 11:44:49 Position still OPEN: SELL at 87.99 (Current Price: 88.71)
